Datetime,Open,High,Low,Close,Volume,IsGap
2012-02-01 00:00:00-05:00,104.54,105.21,104.41,104.68,166234500,False
2012-02-02 00:00:00-05:00,104.89,105.11,104.47,104.85,113090400,False
2012-02-03 00:00:00-05:00,105.89,106.38,105.71,106.32,160598500,False
2012-02-06 00:00:00-05:00,105.87,106.29,105.75,106.24,107694500,False
2012-02-07 00:00:00-05:00,106.02,106.7,105.6,106.51,135528100,False
2012-02-08 00:00:00-05:00,106.57,106.85,106.13,106.83,139361400,False
2012-02-09 00:00:00-05:00,107.0,107.15,106.33,106.96,148602900,False
2012-02-10 00:00:00-05:00,106.02,106.26,105.76,106.17,167907500,False
2012-02-13 00:00:00-05:00,106.93,107.09,106.47,106.96,115841900,False
2012-02-14 00:00:00-05:00,106.68,106.89,106.09,106.83,165329500,False
2012-02-15 00:00:00-05:00,107.18,107.34,106.12,106.33,195195100,False
2012-02-16 00:00:00-05:00,106.34,107.6,106.15,107.51,186567800,False
2012-02-17 00:00:00-05:00,107.88,107.97,107.44,107.79,129869400,False
2012-02-21 00:00:00-05:00,108.05,108.3,107.51,107.84,134042300,False
2012-02-22 00:00:00-05:00,107.68,107.9,107.3,107.49,124455300,False
2012-02-23 00:00:00-05:00,107.44,108.05,107.07,107.97,137704300,False
2012-02-24 00:00:00-05:00,108.2,108.42,107.97,108.2,105539100,False
2012-02-27 00:00:00-05:00,107.49,108.68,107.31,108.39,145728900,False
2012-02-28 00:00:00-05:00,108.42,108.83,108.2,108.7,129355900,False
2012-02-29 00:00:00-05:00,108.86,109.2,107.9,108.28,185934700,False
2012-03-01 00:00:00-05:00,108.5,109.04,108.2,108.84,145023500,False
2012-03-02 00:00:00-05:00,108.77,108.91,108.26,108.5,120638300,False
2012-03-05 00:00:00-05:00,108.34,108.42,107.69,108.06,140765000,False
2012-03-06 00:00:00-05:00,106.96,107.02,106.17,106.48,202129900,False
2012-03-07 00:00:00-05:00,106.73,107.4,106.62,107.22,143692200,False
2012-03-08 00:00:00-05:00,107.88,108.51,107.66,108.29,116968900,False
2012-03-09 00:00:00-05:00,108.5,108.99,108.36,108.71,122836800,False
2012-03-12 00:00:00-04:00,108.69,108.86,108.33,108.72,104003500,False
2012-03-13 00:00:00-04:00,109.3,110.73,109.12,110.68,184090500,False
2012-03-14 00:00:00-04:00,110.71,110.99,110.22,110.56,145163600,False
2012-03-15 00:00:00-04:00,110.73,111.25,110.44,111.2,165118500,False
2012-03-16 00:00:00-04:00,111.4,111.5,111.12,111.35,152893500,False
2012-03-19 00:00:00-04:00,111.28,112.13,111.2,111.79,125291100,False
2012-03-20 00:00:00-04:00,111.16,111.6,110.83,111.46,121729700,False
2012-03-21 00:00:00-04:00,111.53,111.63,111.05,111.28,122388400,False
2012-03-22 00:00:00-04:00,110.46,110.76,110.12,110.48,135216700,False
2012-03-23 00:00:00-04:00,110.58,110.96,109.96,110.84,120521000,False
2012-03-26 00:00:00-04:00,111.63,112.39,111.59,112.39,120164000,False
2012-03-27 00:00:00-04:00,112.5,112.57,111.97,112.04,119868500,False
2012-03-28 00:00:00-04:00,111.99,112.16,110.83,111.49,148562100,False
2012-03-29 00:00:00-04:00,110.83,111.5,110.39,111.3,164963700,False
2012-03-30 00:00:00-04:00,111.85,111.95,111.16,111.76,135486800,False
2012-04-02 00:00:00-04:00,111.62,112.87,111.4,112.58,151741100,False
2012-04-03 00:00:00-04:00,112.42,112.61,111.46,112.12,155806700,False
2012-04-04 00:00:00-04:00,111.29,111.39,110.59,111.0,146896000,False
2012-04-05 00:00:00-04:00,110.62,111.27,110.53,110.95,137439400,False
2012-04-09 00:00:00-04:00,109.55,110.99,109.4,109.7,127555900,False
2012-04-10 00:00:00-04:00,109.49,109.8,107.75,107.86,235360300,False
2012-04-11 00:00:00-04:00,108.96,109.16,108.54,108.73,154133000,False
2012-04-12 00:00:00-04:00,108.84,110.24,108.76,110.16,154321500,False
2012-04-13 00:00:00-04:00,109.9,110.18,108.74,108.85,169246700,False
2012-04-16 00:00:00-04:00,109.4,109.56,108.4,108.77,147825300,False
2012-04-17 00:00:00-04:00,109.4,110.61,109.29,110.39,147877600,False
2012-04-18 00:00:00-04:00,109.89,110.39,109.83,110.01,123884200,False
2012-04-19 00:00:00-04:00,110.03,110.44,108.79,109.31,198666700,False
2012-04-20 00:00:00-04:00,109.79,110.19,109.42,109.49,143199600,False
2012-04-23 00:00:00-04:00,108.37,108.66,107.89,108.57,171844900,False
2012-04-24 00:00:00-04:00,108.66,109.26,108.58,108.98,137484200,False
2012-04-25 00:00:00-04:00,110.04,110.52,109.95,110.47,150252200,False
2012-04-26 00:00:00-04:00,110.23,111.37,110.17,111.24,136291600,False
2012-04-27 00:00:00-04:00,111.58,111.74,110.96,111.42,130725000,False
2012-04-30 00:00:00-04:00,111.2,111.28,110.71,111.01,115092200,False
2012-05-01 00:00:00-04:00,110.95,112.43,110.82,111.7,138832200,False
2012-05-02 00:00:00-04:00,111.05,111.48,110.69,111.37,121081000,False
2012-05-03 00:00:00-04:00,111.39,111.47,110.31,110.52,143759700,False
2012-05-04 00:00:00-04:00,109.94,110.56,108.67,108.73,193927300,False
2012-05-07 00:00:00-04:00,108.35,109.18,108.31,108.81,127765900,False
2012-05-08 00:00:00-04:00,108.16,108.55,107.08,108.38,213377700,False
2012-05-09 00:00:00-04:00,107.23,108.42,106.74,107.73,220752500,False
2012-05-10 00:00:00-04:00,108.48,108.62,107.71,107.96,150600000,False
2012-05-11 00:00:00-04:00,107.28,108.63,107.23,107.63,153032400,False
2012-05-14 00:00:00-04:00,106.6,107.63,106.28,106.44,163910000,False
2012-05-15 00:00:00-04:00,106.37,107.0,105.66,105.83,207629300,False
2012-05-16 00:00:00-04:00,106.31,106.79,105.4,105.42,207265500,False
2012-05-17 00:00:00-04:00,105.45,105.58,103.81,103.86,247992900,False
2012-05-18 00:00:00-04:00,104.27,104.45,102.82,102.97,319615900,False
2012-05-21 00:00:00-04:00,103.31,104.78,103.14,104.74,177861100,False
2012-05-22 00:00:00-04:00,105.01,105.74,104.24,104.92,197531200,False
2012-05-23 00:00:00-04:00,104.17,105.13,103.17,104.98,204958400,False
